no_prov;Provinsi;kelapa_sawit;Tahun
22;Kalimantan Selatan;1561.10;2020
23;Kalimantan Timur;3823.20;2020
24;Kalimantan Utara;301.60;2020
25;Sulawesi Utara;0;2020
26;Sulawesi Tengah;371.70;2020
27;Sulawesi Selatan;100.30;2020
28;Sulawesi Tenggara;76.30;2020
29;Gorontalo;5.00;2020
30;Sulawesi Barat;348.00;2020
31;Maluku;19.10;2020
32;Maluku Utara;0;2020
33;Papua Barat;106.40;2020
34;Papua;557.60;2020
35;Indonesia;48296.90;2020
1;Aceh;896.30;2015
2;Sumatera Utara;5193.10;2015
3;Sumatera Barat;926.60;2015
4;Riau;8059.80;2015
5;Jambi;1794.90;2015
6;Sumatera Selatan;2821.90;2015
7;Bengkulu;747.50;2015
8;Lampung;434.30;2015
9;Bangka Belitung;523.10;2015
10;Kepulauan Riau;45.10;2015
11;Jakarta Raya;0.00;2015
12;Jawa Barat;35.00;2015
13;Jawa Tengah;0.00;2015
14;Yogyakarta;0.00;2015
15;Jawa Timur;0.00;2015
16;Banten;25.50;2015
17;Bali;0.00;2015
18;Nusa Tenggara Barat;0.00;2015
19;Nusa Tenggara Timur;0.00;2015
20;Kalimantan Barat;2168.10;2015
21;Kalimantan Tengah;3573.00;2015
22;Kalimantan Selatan;1049.50;2015
23;Kalimantan Timur;1586.60;2015
24;Kalimantan Utara;268.10;2015
25;Sulawesi Utara;0.00;2015
26;Sulawesi Tengah;275.30;2015
27;Sulawesi Selatan;111.50;2015
28;Sulawesi Tenggara;72.40;2015
29;Gorontalo;0.10;2015
30;Sulawesi Barat;294.60;2015
31;Maluku;0.00;2015
32;Maluku Utara;0.00;2015
33;Papua Barat;74.00;2015
34;Papua;93.50;2015
35;Indonesia;31070.00;2015
1;Aceh;564.70;2008
2;Sumatera Utara;3882.40;2008
3;Sumatera Barat;961.50;2008
4;Riau;4812.90;2008
5;Jambi;1626.50;2008
6;Sumatera Selatan;1891.40;2008
7;Bengkulu;560.30;2008
8;Lampung;416.30;2008
9;Bangka Belitung;412.90;2008
10;Kepulauan Riau;10.60;2008
11;Jakarta Raya;0;2008
12;Jawa Barat;12.60;2008
13;Jawa Tengah;0;2008
14;Yogyakarta;0;2008
15;Jawa Timur;0;2008
16;Banten;25.00;2008
17;Bali;0;2008
18;Nusa Tenggara Barat;0;2008
19;Nusa Tenggara Timur;0;2008
20;Kalimantan Barat;1124.40;2008
21;Kalimantan Tengah;1295.70;2008
22;Kalimantan Selatan;891.10;2008
23;Kalimantan Timur;338.40;2008
24;Kalimantan Utara;0;2008
25;Sulawesi Utara;0;2008
26;Sulawesi Tengah;126.60;2008
27;Sulawesi Selatan;21.50;2008
28;Sulawesi Tenggara;10.60;2008
